,num_jobs,num_stages,num_sims,max_time_per_cp_solve,time_limit,consider_mean,num_sims_long,method
0,30,15,100,30,60,1,5000,adaptive
1,30,15,100,30,300,1,5000,adaptive
2,30,15,100,30,600,1,5000,adaptive
