,num_jobs,num_stages,simulation_time,solve_time,solve_status
0,5,5,128.4954435825348,0.0910027027130127,Optimal
1,10,5,177.83447980880737,0.9725868701934814,Optimal
2,10,10,333.7595031261444,2.2369565963745117,Optimal
3,20,10,680.8539564609528,16.853239059448242,Optimal
4,20,20,1592.829297542572,475.3604164123535,Optimal
5,30,15,1987.884985923767,72.10163450241089,Optimal
6,30,30,4036.4433608055115,3600.4673206806183,Feasible
7,40,20,3351.1283915042877,3600.329801082611,Feasible
8,40,40,7758.974154949188,3600.711191892624,Feasible
9,50,25,6098.884844779968,3600.426680326462,Feasible
